,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
0,10-14-2019,12:53:34 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
1,10-13-2019,11:47:28 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
2,10-13-2019,11:46:53 AM,TORONTO ON,TORONTO ON,A_2,Outgoing,1
3,10-13-2019,11:46:15 AM,TORONTO ON,TORONTO ON,A_2,Outgoing,1
4,10/11/2019,7:03:08 PM,TORONTO ON,TORONTO ON,A_3,Outgoing,37
5,10/11/2019,10:25:02 AM,TORONTO ON,TORONTO ON,A_4,Outgoing,20
6,10/11/2019,8:52:50 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,6
7,10/11/2019,7:57:50 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
8,10/10/2019,6:46:06 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,17
9,10/10/2019,5:16:33 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,26
10,10/10/2019,11:58:01 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,21
11,10/10/2019,11:07:14 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,10
12,10/10/2019,10:49:25 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,5
13,10/10/2019,10:34:55 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,3
14,10/10/2019,10:13:18 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
15,10/10/2019,10:10:41 AM,TORONTO ON,TORONTO ON,B_1,Outgoing,1
16,10/09/2019,8:56:22 PM,TORONTO ON,TORONTO ON,B_1,Outgoing,1
17,10/09/2019,8:46:08 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,9
18,10/09/2019,8:19:24 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,24
19,10/09/2019,8:15:51 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
20,10/09/2019,6:09:17 PM,TORONTO ON,RICHMONDHL ON,B_2,Outgoing,2
21,10/08/2019,4:41:46 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
22,10/08/2019,7:37:11 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
23,10/06/2019,9:00:02 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
24,10/06/2019,4:15:49 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
25,10/04/2019,5:35:32 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
26,10/04/2019,5:04:10 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,31
27,10/04/2019,12:31:10 PM,TORONTO ON,TORONTO ON,A_4,Outgoing,15
